,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
368047,368048,NCT05710224,,2023-01-24,,,2023-06-07,2023-01-24,2023-02-02,Actual,,,,,,,2023-06-07,2023-06-08,Actual,"February 15, 2023",Actual,2023-02-15,May 2023,2023-05-31,"December 22, 2024",Anticipated,2024-12-22,"January 25, 2024",Anticipated,2024-01-25,,Interventional,,,"Clinical Bridging Study Between V181 (Dengue Quadrivalent Vaccine rDENV<U+0394>30 [Live, Attenuated]) to Butantan Dengue Vaccine (Butantan-DV) in Healthy Adults 18 to 50 Years of Age in Brazil (V181-002)","A Phase 2, Randomized, Double-Blind, Multicenter, Safety and Immunogenicity Clinical Bridging Study to Compare V181 (Dengue Quadrivalent Vaccine rDENV<U+0394>30 [Live, Attenuated]) to Butantan Dengue Vaccine (Butantan-DV) in Healthy Adults 18 to 50 Years of Age in Brazil",Recruiting,,Phase 2,1240.0,Anticipated,Butantan Institute,,2.0,,,False,,,,True,True,False,,,True,,,,,http://engagezone.msd.com/ds_documentation.php,Yes,http://engagezone.msd.com/doc/ProcedureAccessClinicalTrialData.pdf,2023-06-14 13:36:29,2023-06-14 13:36:29,OTHER_GOV,,,,,
368108,368109,NCT01326546,,2011-03-28,2019-03-31,,2019-03-31,2011-03-30,2011-03-31,Estimate,2019-03-31,2019-06-26,Actual,,,,2019-03-31,2019-06-26,Actual,June 2010,Actual,2010-06-30,March 2019,2019-03-31,January 2014,Actual,2014-01-31,January 2014,Actual,2014-01-31,,Interventional,,Population analysis based on intention to treat,Therapeutic Hepatitis B Vaccine (Mimogen-based) Joint Entecavir in Treating Chronic Hepatitis B Patients,"A Randomized, Double-blind, Multicenter Phase II Clinical Trial to Evaluate the Efficacy and Safety of Therapeutic Hepatitis B Vaccine (Mimogen-based) Joint Entecavir in Treating HBeAg Positive Chronic Hepatitis B Patients",Completed,,Phase 2,378.0,Actual,Chongqing Jiachen Biotechnology Ltd.,,2.0,,,False,,,,True,,,,,,,,,,,Undecided,,2023-06-15 18:27:07,2023-06-15 18:27:07,INDUSTRY,,,,,
368129,368130,NCT05604521,,2022-10-28,,,2023-06-06,2022-10-28,2022-11-03,Actual,,,,,,,2023-06-06,2023-06-08,Actual,"December 6, 2022",Actual,2022-12-06,June 2023,2023-06-30,"October 25, 2023",Anticipated,2023-10-25,"October 25, 2023",Anticipated,2023-10-25,,Interventional,,,"A Phase 1 Trial of PfSPZ Vaccine in Healthy Adults to Determine Safety, Tolerability and Efficacy Against Heterologous CHMI","A Randomized, Double-blind, Placebo-controlled, Clinical Trial of a 3-dose, 28-day Regimen of PfSPZ Vaccine in Healthy, Adult Participants to Determine Safety, Tolerability and Efficacy Against Heterologous Plasmodium Falciparum Controlled Human Malaria Infection Conducted 3 or 12 Weeks After Immunization","Active, not recruiting",,Phase 1,60.0,Anticipated,Sanaria Inc.,,4.0,,,False,,,,,True,False,,,,,,,,,,,2023-06-14 13:37:04,2023-06-14 13:37:04,INDUSTRY,,,,,
368161,368162,NCT00601770,,2008-01-04,,,2014-02-10,2008-01-15,2008-01-28,Estimate,,,,,,,2014-02-10,2014-02-11,Estimate,February 2006,,2006-02-28,February 2014,2014-02-28,July 2008,Actual,2008-07-31,July 2008,Actual,2008-07-31,,Interventional,,,Virological Response Study of the HCV Vaccine IC41,"Open-label, Multicenter Trial With IC41, a Therapeutic HCV Vaccine in Patients With Chronic HCV",Completed,,Phase 2,71.0,Actual,Valneva Austria GmbH,,1.0,,,False,,,,False,,,,,,,,,,,,,2023-06-15 18:27:21,2023-06-15 18:27:21,INDUSTRY,,,,,
368432,368433,NCT05148962,,2021-12-03,,,2023-06-07,2021-12-03,2021-12-08,Actual,,,,,,,2023-06-07,2023-06-08,Actual,"September 16, 2021",Actual,2021-09-16,June 2023,2023-06-30,"May 26, 2023",Actual,2023-05-26,"May 26, 2023",Actual,2023-05-26,,Interventional,,,Study of GRT-R910 COVID-19 Boost Vaccine in Healthy Volunteers,"A Phase 1 Trial to Evaluate the Safety, Immunogenicity, and Reactogenicity of a Self-Amplifying mRNA Prophylactic Vaccine Boost Against SARS-CoV-2 in Previously Vaccinated Healthy Adults 18 Years and Older",Completed,,Phase 1,40.0,Actual,"Gritstone bio, Inc.",,5.0,,,False,,,,False,False,False,,,False,,,,,,Undecided,,2023-06-14 13:39:08,2023-06-14 13:39:08,INDUSTRY,,,,,
368543,368544,NCT04813796,,2021-03-22,,,2023-06-07,2021-03-22,2021-03-24,Actual,,,,,,,2023-06-07,2023-06-08,Actual,"March 11, 2021",Actual,2021-03-11,June 2023,2023-06-30,"July 19, 2023",Anticipated,2023-07-19,"July 19, 2023",Anticipated,2023-07-19,,Interventional,,,"A Study to Evaluate Safety, Reactogenicity, and Immunogenicity of mRNA-1283 and mRNA-1273 Vaccines in Healthy Adults Between 18 Years and 55 Years of Age to Prevent COVID-19","A Phase 1, Randomized, Observer-Blind, Dose-Ranging Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of mRNA-1283 and mRNA-1273 SARS-CoV-2 Vaccine in Adults Aged 18-55 Years","Active, not recruiting",,Phase 1,104.0,Actual,"ModernaTX, Inc.",,5.0,,,False,,,,True,True,False,,,,,,,,,,,2023-06-14 13:40:31,2023-06-14 13:40:31,INDUSTRY,,,,,
368653,368654,NCT02892812,,2016-09-02,,,2017-06-23,2016-09-02,2016-09-08,Estimate,,,,,,,2017-06-23,2017-06-26,Actual,September 2016,,2016-09-30,June 2017,2017-06-30,November 2016,Actual,2016-11-30,November 2016,Actual,2016-11-30,,Interventional,,,A Phase I Clinical Trial of a 13-valent Pneumococcal Conjugate Vaccine and 14-valent Pneumococcal Conjugate Vaccine in Adults,"A Single-blind, Single-center, Randomized, Active-controlled, Parallel Group, Phase I Study to Evaluate the Safety and Immunogenicity of Intramuscular Single Injection With LBVE013 (Pneumococcal 13-valent Conjugate Vaccine [Diphtheria CRM197 Protein]), LBVE014 (Pneumococcal 14-valent Conjugate Vaccine [Diphtheria CRM197 Protein]) or Prevnar13 in Healthy Adults",Completed,,Phase 1,63.0,Actual,LG Life Sciences,,3.0,,,False,,,,False,,,,,,,,,,,Undecided,,2023-06-15 18:29:27,2023-06-15 18:29:27,INDUSTRY,,,,,
368900,368901,NCT02366728,,2014-10-28,2021-10-20,,2023-06-06,2015-02-12,2015-02-19,Estimate,2022-01-03,2022-02-01,Actual,,,,2023-06-06,2023-06-08,Actual,"October 12, 2015",Actual,2015-10-12,June 2023,2023-06-30,"October 31, 2020",Actual,2020-10-31,"October 31, 2020",Actual,2020-10-31,,Interventional,ELEVATE,Participants who received at least one ppp65 vaccine.,DC Migration Study for Newly-Diagnosed GBM,Evaluation of Overcoming Limited Migration and Enhancing Cytomegalovirus-specific Dendritic Cell Vaccines With Adjuvant TEtanus Pre-conditioning in Patients With Newly-diagnosed Glioblastoma,Completed,,Phase 2,64.0,Actual,Duke University,,3.0,,,False,,,,True,,,,,,,,,,,,,2023-06-14 13:44:29,2023-06-14 13:44:29,OTHER,,,,,
368958,368959,NCT00003665,,1999-11-01,,,2013-02-27,2004-02-06,2004-02-09,Estimate,,,,,,,2013-02-27,2013-02-28,Estimate,April 1999,,1999-04-30,February 2013,2013-02-28,November 2002,Actual,2002-11-30,October 2002,Actual,2002-10-31,,Interventional,,,Vaccine Therapy in Treating Patients With Stage IV Melanoma,Phase I Trial of a Dendritic Cell Vaccine for Melanoma,Completed,,Phase 1,40.0,Actual,National Cancer Institute (NCI),,3.0,,,False,,,,,,,,,,,,,,,,,2023-06-14 13:45:08,2023-06-14 13:45:08,NIH,,,,,
369319,369320,NCT02878291,,2016-08-22,,,2016-08-25,2016-08-22,2016-08-25,Estimate,,,,,,,2016-08-25,2016-08-26,Estimate,June 2016,,2016-06-30,August 2016,2016-08-31,December 2016,Anticipated,2016-12-31,November 2016,Anticipated,2016-11-30,,Interventional,,,Safety Study of Meningococcal ACYW135 Polysaccharide Conjugate Vaccine in Healthy Volunteers Aged Above 3 Months,"A Single-center, Open, Phase I Clinical Trial to Evaluate Safety of Meningococcal ACYW135 Polysaccharide Conjugate Vaccine in Healthy Volunteers Aged Above 3 Months",Unknown status,Recruiting,Phase 1,200.0,Anticipated,"Beijing Zhifei Lvzhu Biopharmaceutical Co., Ltd",,2.0,,,False,,,,False,,,,,,,,,,,No,,2023-06-15 18:31:27,2023-06-15 18:31:27,INDUSTRY,,,,,
369408,369409,NCT01867086,,2013-05-29,2018-02-15,,2018-05-21,2013-05-29,2013-06-03,Estimate,2018-03-29,2018-05-01,Actual,,,,2018-05-21,2018-06-19,Actual,June 2013,,2013-06-30,May 2018,2018-05-31,"April 8, 2016",Actual,2016-04-08,April 2016,Actual,2016-04-30,,Interventional,,,Salvage Ovarian FANG Vaccine + Carboplatinum,Phase II Trial of Adjuvant Bi-shRNAfurin and GMCSF Augmented Autologous Tumor Cell Vaccine (FANG) Integrated With Chemotherapy for Patients With Recurrent Cisplatinum Sensitive Ovarian Cancer Participating in Study CL-PTL 105,Completed,,Phase 2,1.0,Actual,"Gradalis, Inc.",,1.0,,,False,,,,True,,,,,,,,,,,,,2023-06-14 13:50:55,2023-06-14 13:50:55,INDUSTRY,,,,,
369439,369440,NCT01846104,,2013-04-30,2015-12-10,,2019-12-17,2013-04-30,2013-05-03,Estimate,2016-09-29,2016-11-21,Estimate,,,,2019-12-17,2019-12-27,Actual,"April 30, 2013",Actual,2013-04-30,December 2019,2019-12-31,"June 30, 2013",Actual,2013-06-30,"June 30, 2013",Actual,2013-06-30,,Interventional,RVEc,,Booster Dose (50 µg) of Recombinant Ricin Toxin Vaccine (RVEc) in Previously Vaccinated Healthy Adults,Safety and Immunogenicity of a Booster Dose (50 µg) of Recombinant Ricin Toxin A-Chain 1-33/44-198 (rRTA 1-33/44-198) Vaccine (RVEc) in Previously Vaccinated Healthy Adults,Completed,,Phase 1,4.0,Actual,U.S. Army Medical Research and Development Command,,1.0,,,False,,,,False,,,,,,,,,,,,,2023-06-14 13:51:16,2023-06-14 13:51:16,FED,,,,,
369565,369566,NCT01324440,,2011-02-24,2011-09-09,,2015-03-23,2011-03-28,2011-03-29,Estimate,2011-09-09,2011-10-17,Estimate,,,,2015-03-23,2015-04-10,Estimate,September 2006,,2006-09-30,March 2015,2015-03-31,October 2007,Actual,2007-10-31,October 2007,Actual,2007-10-31,,Interventional,,,"Safety, Tolerability, and Immunogenicity of a Single Dose of Merck 0657nI Staphylococcus Aureus Vaccine With or Without Merck Aluminum Adjuvant (V710-002)","A Randomized, Multicenter, Double-Blind Study to Evaluate the Safety, Tolerability, and Immunogenicity of a Single Dose of Merck 0657nI Staphylococcus Aureus Vaccine With Merck Aluminum Adjuvant or Without Merck Aluminum Adjuvant in Healthy Adults 18 to 70 Years of Age",Completed,,Phase 1,64.0,Actual,Merck Sharp & Dohme LLC,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-15 18:32:18,2023-06-15 18:32:18,INDUSTRY,,,,,
369611,369612,NCT00518336,,2007-08-17,2010-07-12,,2016-10-27,2007-08-17,2007-08-20,Estimate,2011-09-15,2011-10-25,Estimate,,,,2016-10-27,2016-12-09,Estimate,November 2007,,2007-11-30,October 2016,2016-10-31,September 2010,Actual,2010-09-30,July 2008,Actual,2008-07-31,,Interventional,,,Follow-up Study to Evaluate the Long-term Efficacy of the HPV Vaccine (580299) in Healthy Young Adult Women in Brazil,Follow-up Study to Evaluate the Long-term Efficacy of a HPV Vaccine (580299) in Healthy Young Adult Women in Brazil,Completed,,Phase 2,433.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 18:39:45,2023-06-16 18:39:45,INDUSTRY,,,,,
369741,369742,NCT00623259,,2008-02-19,,,2010-05-19,2008-02-19,2008-02-26,Estimate,,,,,,,2010-05-19,2010-05-20,Estimate,May 2008,,2008-05-31,May 2010,2010-05-31,April 2009,Actual,2009-04-30,February 2009,Actual,2009-02-28,,Interventional,,,Phase I Safety Study of a Recombinant MVA HIV Multiantigen Vaccine in HIV-infected Subjects,Phase I Vaccination Study Testing the Safety and Reactogenicity of a Recombinant MVA HIV Multiantigen Vaccine (MVA-mBN120B) in HIV-infected Subjects With CD4 Count > 350/µL,Completed,,Phase 1,15.0,Anticipated,Bavarian Nordic,,1.0,,,,,,,True,,,,,,,,,,,,,2023-06-15 18:33:03,2023-06-15 18:33:03,INDUSTRY,,,,,
369824,369825,NCT01730118,,2012-11-17,2022-08-12,,2022-08-12,2012-11-17,2012-11-21,Estimate,2022-08-12,2022-09-10,Actual,,,,2022-08-12,2022-09-10,Actual,"March 4, 2013",Actual,2013-03-04,August 2022,2022-08-31,"December 3, 2019",Actual,2019-12-03,"December 3, 2019",Actual,2019-12-03,,Interventional,,,Ad/HER2/Neu Dendritic Cell Cancer Vaccine Testing,A Phase I Study of an Adenoviral Transduced Autologous Dendritic Cell Vaccine Expressing Human HER2/Neu ECTM in Adults With Tumors With 1-3+ HER2/Neu Expression,Completed,,Phase 1,33.0,Actual,National Institutes of Health Clinical Center (CC),,5.0,,,False,,,,False,True,False,,,,,,Clinical data available during the study and indefinitely.,Clinical data will be made available via subscription to Biomedical Translational Research Information System (BTRIS) and with the permission of the study principal investigator (PI).,,Yes,All individual participant data (IPD) recorded in the medical record will be shared with intramural investigators upon request. All collected IPD will be shared with collaborators under the terms of collaborative agreements.,2023-06-14 13:56:15,2023-06-14 13:56:15,NIH,,,,,
369836,369837,NCT01728792,,2012-10-16,2016-08-30,,2019-07-16,2012-11-19,2012-11-20,Estimate,2016-11-04,2017-01-04,Estimate,,,,2019-07-16,2019-07-18,Actual,"January 22, 2013",Actual,2013-01-22,July 2019,2019-07-31,"November 21, 2013",Actual,2013-11-21,"November 1, 2013",Actual,2013-11-01,,Interventional,,Safety Analysis Set included all enrolled participants who received at least 1 dose of study vaccine and for whom any post-vaccination safety data has been obtained.,Impact of SC vs IM Administration of DENVax (TDV) on Safety and Immunogenicity,Impact of Subcutaneous Versus Intramuscular Administration of Inviragen's Live Attenuated Dengue Vaccine on Safety and Immunogenicity,Completed,,Phase 1,80.0,Actual,Takeda,,5.0,,,False,,,,False,,,,,,,,,,,,,2023-06-14 13:56:35,2023-06-14 13:56:35,INDUSTRY,,,,,
369883,369884,NCT01723254,,2012-11-05,2016-05-31,,2016-05-31,2012-11-05,2012-11-07,Estimate,2016-05-31,2016-07-11,Estimate,,,,2016-05-31,2016-07-11,Estimate,December 2012,,2012-12-31,May 2016,2016-05-31,June 2015,Actual,2015-06-30,June 2015,Actual,2015-06-30,,Interventional,,,A Study To Assess The Safety And Tolerability Of Different Doses Of PF-06444753 And PF-06444752 In Subjects With Allergic Rhinitis,"A Phase 1, Randomized, Double Blinded, Placebo Controlled Study To Evaluate The Safety, Tolerability, Immunogenicity, And Exploratory Pharmacodynamic Response Of Ascending Dose Levels Of An Anti-ige Vaccine With Two Different Adjuvant Formulations (Pf-06444753 And Pf-06444752) In Generally Healthy Subjects With Allergic Rhinitis",Completed,,Phase 1,190.0,Actual,Pfizer,,3.0,,,False,,,,False,,,,,,,,,,,,,2023-06-14 13:57:32,2023-06-14 13:57:32,INDUSTRY,,,,,
370057,370058,NCT03028116,,2017-01-04,,,2017-01-20,2017-01-20,2017-01-23,Estimate,,,,,,,2017-01-20,2017-01-23,Estimate,May 2016,,2016-05-31,December 2016,2016-12-31,July 2016,Actual,2016-07-31,June 2016,Actual,2016-06-30,,Interventional,VSI,,"Reactogenicity, Safety and Immunogenicity Study of a Allantoic Split Inactivated Seasonal Influenza Vaccine","A Randomized, Blinded, Placebo-controlled Study of Phase I Allantoic Split Inactivated Seasonal Influenza Vaccine in Healthy Adults",Completed,,Phase 1,44.0,Actual,Research Institute for Biological Safety Problems,,2.0,,,False,,,,True,False,False,,,,,,,,,Undecided,,2023-06-14 14:01:23,2023-06-14 14:01:23,OTHER_GOV,,,,,
370059,370060,NCT01090453,,2010-03-18,2014-06-19,2011-11-17,2018-06-28,2010-03-18,2010-03-22,Estimate,2014-07-24,2014-08-15,Estimate,2011-11-17,2011-11-21,Estimate,2018-06-28,2018-08-20,Actual,"May 17, 2010",,2010-05-17,August 2016,2016-08-31,"October 11, 2011",Actual,2011-10-11,"October 11, 2011",Actual,2011-10-11,,Interventional,,,Study of GlaxoSmithKline Biologicals' GSK2202083A Vaccine in Healthy Infants,"Feasibility Study of GlaxoSmithKline Biologicals' GSK2202083A Vaccine in Healthy Infants at 2, 4 and 12 Months of Age",Completed,,Phase 2,480.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-15 18:34:21,2023-06-15 18:34:21,INDUSTRY,,,,,
370085,370086,NCT00430521,,2007-02-01,2017-09-21,2009-05-20,2019-10-04,2007-02-01,2007-02-02,Estimate,2019-10-04,2019-10-28,Actual,2009-09-28,2009-09-30,Estimate,2019-10-04,2019-10-28,Actual,"February 5, 2007",Actual,2007-02-05,October 2019,2019-10-31,"October 20, 2008",Actual,2008-10-20,"October 20, 2008",Actual,2008-10-20,,Interventional,,,Safety & Immunogenicity of an Alternative Immunization Schedule of GSK Bio's Pandemic Influenza Vaccine (GSK1119711A),Reactogenicity and Immunogenicity Study of GlaxoSmithKline Biologicals' Pandemic Influenza Vaccine (GSK1119711A) Administered According to Different Vaccination Schedules,Completed,,Phase 2,512.0,Actual,GlaxoSmithKline,,8.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 18:40:23,2023-06-16 18:40:23,INDUSTRY,,,,,
370297,370298,NCT01509846,,2012-01-05,2018-07-31,,2021-08-10,2012-01-10,2012-01-13,Estimate,2021-08-10,2021-08-11,Actual,,,,2021-08-10,2021-08-11,Actual,March 2011,,2011-03-31,July 2021,2021-07-31,December 2012,Actual,2012-12-31,December 2012,Actual,2012-12-31,,Interventional,,One subject in Cohort 3 was randomized in error and did not receive the study product.,Safety Study of Inactivated Shigella Whole Cell Vaccine in Adults,"A Phase 1 Study to Evaluate the Safety, Tolerability, and Immunogenicity of an Oral Inactivated Whole Cell Shigella Flexneri 2a Vaccine in Healthy Adult Subjects",Completed,,Phase 1,82.0,Actual,PATH,,5.0,,,False,,,,True,,,,,,,,,,,,,2023-06-14 14:04:54,2023-06-14 14:04:54,OTHER,,,,,
370384,370385,NCT01453998,,2011-10-06,2014-05-01,2012-11-16,2020-07-03,2011-10-14,2011-10-18,Estimate,2014-07-24,2014-07-28,Estimate,2012-11-16,2012-11-21,Estimate,2020-07-03,2020-07-17,Actual,"October 14, 2011",Actual,2011-10-14,July 2020,2020-07-31,"November 12, 2012",Actual,2012-11-12,"November 12, 2012",Actual,2012-11-12,,Interventional,,,Safety and Immunogenicity of a Booster Dose of New Formulations of GlaxoSmithKline Biologicals' DTPa-HBV-IPV/Hib Vaccine (GSK217744),Safety and Immunogenicity of a Booster Dose of New Formulations of GlaxoSmithKline Biologicals' DTPa-HBV-IPV/Hib Vaccine (GSK217744),Completed,,Phase 2,657.0,Actual,GlaxoSmithKline,,3.0,,,False,,,,,,,,,,,,IPD is available via the Clinical Study Data Request site (click on the link provided below),"Access is provided after a research proposal is submitted and has received approval from the Independent Review Panel and after a Data Sharing Agreement is in place. Access is provided for an initial period of 12 months but an extension can be granted, when justified, for up to another 12 months.",https://clinicalstudydatarequest.com/Posting.aspx?ID=20051,Yes,IPD is available via the Clinical Study Data Request site (click on the link provided below),2023-06-14 14:06:29,2023-06-14 14:06:29,INDUSTRY,,,,,
370502,370503,NCT01436370,,2011-09-15,2014-04-17,,2014-12-04,2011-09-15,2011-09-19,Estimate,2014-04-17,2014-05-16,Estimate,,,,2014-12-04,2014-12-24,Estimate,October 2011,,2011-10-31,February 2013,2013-02-28,June 2013,Actual,2013-06-30,February 2013,Actual,2013-02-28,,Interventional,,The baseline analysis population includes all participants who were enrolled and vaccinated.,TIV and High Dose TIV in Subjects With Rheumatoid Arthritis,A Phase II Study in Adults With Rheumatoid Arthritis Receiving TNF-alpha-inhibitor Therapy to Assess the Immunogenicity and Safety of Trivalent Inactivated Vaccine (TIV) and High Dose Trivalent Inactivated Vaccine (High-Dose TIV) Administered at Two Dosage Levels,Completed,,Phase 2,102.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,4.0,,,False,,,,,,,,,,,,,,,,,2023-06-14 14:08:46,2023-06-14 14:08:46,NIH,,,,,
370553,370554,NCT04871737,,2021-04-21,,,2022-12-08,2021-04-30,2021-05-04,Actual,,,,,,,2022-12-08,2022-12-09,Actual,"May 20, 2021",Actual,2021-05-20,December 2022,2022-12-31,"September 30, 2022",Actual,2022-09-30,"August 21, 2022",Actual,2022-08-21,,Interventional,,,Study of a Live rNDV Based Vaccine Against COVID-19,"Dose-escalation, Open-label, Non-randomized Phase I Study to Evaluate the Safety and Immunogenicity of Three Concentrations of a rNDV Vaccine Against SARS-CoV-2 Administered by the Intranasal and Intramuscular Route to Healthy Volunteers",Completed,,Phase 1,91.0,Actual,"Laboratorio Avi-Mex, S.A. de C.V.",,9.0,,,False,,,,,False,False,,,,,,,,,No,,2023-06-15 18:36:02,2023-06-15 18:36:02,INDUSTRY,,,,,
371142,371143,NCT02879266,,2016-08-22,,,2018-03-30,2016-08-22,2016-08-25,Estimate,,,,,,,2018-03-30,2018-04-02,Actual,"February 1, 2016",Actual,2016-02-01,March 2018,2018-03-31,,,,"September 7, 2017",Actual,2017-09-07,,Interventional,,,Evaluating the Safety and Immunogenicity of a Tetravalent Dengue Vaccine (TetraVax-DV) TV005 in Flavivirus-Naive Adults 50 to 70 Years of Age,Phase I Evaluation of the Safety and Immunogenicity of an Investigational Tetravalent Dengue Vaccine (TetraVax-DV) TV005 in Flavivirus-Naïve Adults 50 - 70 Years of Age,Completed,,Phase 1,28.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-15 18:38:01,2023-06-15 18:38:01,NIH,,,,,
371163,371164,NCT04024800,,2019-06-25,,,2021-05-28,2019-07-17,2019-07-18,Actual,,,,,,,2021-05-28,2021-06-02,Actual,"May 3, 2019",Actual,2019-05-03,May 2021,2021-05-31,"June 30, 2024",Anticipated,2024-06-30,"June 30, 2023",Anticipated,2023-06-30,,Interventional,NSABP FB-14,,Establishing the Recommended Biological Dose for AE37 Peptide Vaccine in Combination With Pembrolizumab That Will Enhance the Tumor-specific Immune Response and Demonstrate Efficacy in Patients With Advanced Triple-negative Breast Cancer,A Phase II Clinical Trial of Pembrolizumab in Combination With the AE37 Peptide Vaccine in Patients With Metastatic Triple-Negative Breast Cancer,"Active, not recruiting",,Phase 2,29.0,Anticipated,NuGenerex Immuno-Oncology,,1.0,,,False,,,,False,True,False,,,,,,,,,,,2023-06-14 14:17:14,2023-06-14 14:17:14,INDUSTRY,,,,,
371571,371572,NCT00358332,,2006-07-27,2008-12-09,,2011-10-18,2006-07-27,2006-07-31,Estimate,2009-02-04,2009-03-04,Estimate,,,,2011-10-18,2011-10-24,Estimate,November 2006,,2006-11-30,October 2011,2011-10-31,December 2007,Actual,2007-12-31,December 2007,Actual,2007-12-31,,Interventional,,,Phase I Pediatric FMP2.1/AS02A Trial in Mali,"Randomized, Controlled, Dose Escalation Phase I Clinical Trial to Evaluate the Safety and Immunogenicity of WRAIR's AMA-1 Malaria Vaccine (FMP2.1) Adjuvanted in GSKBio's AS02A Vs. Rabies Vaccine in 1-6 Year Old Children in Bandiagara, Mali",Completed,,Phase 1,100.0,Actual,U.S. Army Medical Research and Development Command,,3.0,,,False,,,,,,,,,,,,,,,,,2023-06-14 15:01:54,2023-06-14 15:01:54,FED,,,,,
371794,371795,NCT01675284,,2012-08-22,,,2013-10-23,2012-08-26,2012-08-29,Estimate,,,,,,,2013-10-23,2013-10-25,Estimate,August 2012,,2012-08-31,October 2013,2013-10-31,May 2013,Actual,2013-05-31,March 2013,Actual,2013-03-31,,Interventional,,,"A Phase I Study to Evaluate the Safety, Reactogenicity, and Humoral Immune Responses to an Inactivated H5N1 Influenza Vaccine","A Phase I, Prospective, Randomized, Open Label, Observer-Blind, Single Center Study to Evaluate the Safety, Reactogenicity and Immunogenicity of an Inactivated H5N1 Influenza Vaccine Produced in Madin-Darby Canine Kidney (MDCK) Cells",Completed,,Phase 1,36.0,Actual,Medigen Biotechnology Corporation,,3.0,,,False,,,,False,,,,,,,,,,,,,2023-06-14 14:24:12,2023-06-14 14:24:12,INDUSTRY,,,,,
371818,371819,NCT04747002,,2021-02-05,,,2021-02-28,2021-02-05,2021-02-10,Actual,,,,,,,2021-02-28,2021-03-03,Actual,"June 12, 2020",Actual,2020-06-12,February 2021,2021-02-28,April 2024,Anticipated,2024-04-30,March 2024,Anticipated,2024-03-31,,Interventional,,,"Investigator-initiated Clinical Trial (Phase II) of Cancer Vaccine ""Dainippon Sumitomo Phama(DSP)-7888"" for Acute Myeloid Leukemia Patients.","Investigator-initiated Clinical Trial (Phase II) of Cancer Vaccine ""DSP-7888"" for Acute Myeloid Leukemia Patients.",Recruiting,,Phase 2,100.0,Anticipated,Osaka University,,2.0,,,False,,,,,False,False,,,,,,,,,No,,2023-06-14 14:24:28,2023-06-14 14:24:28,OTHER,,,,,
371896,371897,NCT03844386,,2019-02-14,2022-07-12,,2022-07-12,2019-02-14,2019-02-18,Actual,2022-07-12,2022-08-09,Actual,,,,2022-07-12,2022-08-09,Actual,"April 22, 2019",Actual,2019-04-22,July 2022,2022-07-31,"April 4, 2022",Actual,2022-04-04,"November 11, 2021",Actual,2021-11-11,,Interventional,M&M,,Study to Assess Safety and Ability to Induce Immune Responses of HIV-1 Vaccines M3 and M4 Given Alone or in Combination in HIV-infected Adults,A Phase I Pilot Study to Evaluate the Safety and Immunogenicity of the HIV-1 Vaccines MVA.tHIVconsv3 (M3) and MVA.tHIVconsv4 (M4) Given Alone or In Combination in HIV-1-Infected Adults Suppressed on Antiretroviral Therapy - The M&M Study,Completed,,Phase 1,26.0,Actual,"University of North Carolina, Chapel Hill",,4.0,,,False,,,,True,True,False,,,,,,,,,No,,2023-06-14 14:25:31,2023-06-14 14:25:31,OTHER,,,,,
